Gene,EntrezID,UNIPROT,3250_overlap,protein_rank_3250,protein_rank_3250_rev,Concentration(ng/L),number of EXPERIMENT,Median
INHBE,83729,P58166,NA,NA,NA,3500,14,104914089.8
LOXL3,84695,P58215,NA,NA,NA,200,6,41730631
ANTXR2,118429,P58335,NA,NA,NA,13000,13,20004551.75
FAM3B,54097,P58499,NA,NA,NA,250,13,NA
LILRA4,23547,P59901,NA,NA,NA,12000,NA,NA
DEFB1,1672,P60022,NA,NA,NA,2500,NA,NA
SEC61G,23480,P60059,NA,NA,NA,37,11,10827984
ACTB,60,P60709,NA,NA,NA,5800000,60,NA
SNAP25,6616,P60880,NA,NA,NA,9,16,40244859.19
KRTDAP,388533,P60985,NA,NA,NA,34000,NA,9684281.625
GNG11,2791,P61952,NA,NA,NA,3400,8,140745611
UFM1,51569,P61960,NA,NA,NA,240,13,NA
TIMM10,26519,P62072,NA,NA,NA,16,NA,NA
UBE2H,7328,P62256,NA,NA,NA,21,12,NA
RPS14,6208,P62263,NA,NA,NA,810,30,NA
RPS24,6229,P62847,NA,NA,NA,90,34,NA
RPL31,6160,P62899,NA,NA,NA,110,30,NA
RPL32,6161,P62910,NA,NA,NA,45,20,NA
PPP3R1,5534,P63098,NA,NA,NA,42,9,NA
RPS21,6227,P63220,NA,NA,NA,250,30,NA
RACK1,10399,P63244,NA,NA,NA,630,31,NA
ACTG1,71,P63261,NA,NA,NA,4900000,38,NA
TNNC1,7134,P63316,NA,NA,NA,990,10,NA
ACTC1,70,P68032,NA,NA,NA,2400000,32,NA
ACTA1,58,P68133,NA,NA,NA,2800000,26,15396101277
CXADR,1525,P78310,NA,NA,NA,18,27,33341416.54
IGBP1,3476,P78318,NA,NA,NA,48,16,NA
SIRPA,140885,P78324,NA,NA,NA,130000,16,68025756.33
KRT83,3889,P78385,NA,NA,NA,130000,7,251327895
KRT85,3891,P78386,NA,NA,NA,110000,6,202177349.9
CX3CL1,6376,P78423,NA,NA,NA,370,NA,NA
JAG1,182,P78504,NA,NA,NA,25000,21,22529412.17
RELN,5649,P78509,NA,NA,NA,30000,14,NA
SRPX,8406,P78539,NA,NA,NA,140,20,3910566.75
IL13RA1,3597,P78552,NA,NA,NA,17000,3,NA
GPLD1,2822,P80108,NA,NA,NA,3100000,NA,45710557.67
DLK1,8788,P80370,NA,NA,NA,2600,NA,9182736.688
IGLV3-21,28796,P80748,NA,NA,NA,4700000,NA,15225098.5
HAMP,57817,P81172,NA,NA,NA,10000,NA,NA
DCD,117159,P81605,NA,NA,NA,410000,27,66697128.25
HMGN5,79366,P82970,NA,NA,NA,41,NA,NA
SARNP,84324,P82979,NA,NA,NA,150,8,NA
ADAMTSL3,57188,P82987,NA,NA,NA,270,5,NA
HTRA4,203100,P83105,NA,NA,NA,23,NA,NA
RPL24,6152,P83731,NA,NA,NA,44,32,NA
CBX1,10951,P83916,NA,NA,NA,120,12,NA
RPL19,6143,P84098,NA,NA,NA,160,30,NA
MXRA7,439921,P84157,NA,NA,NA,100,8,NA
TNFAIP6,7130,P98066,NA,NA,NA,100,6,NA
DGCR2,9993,P98153,NA,NA,NA,84,NA,150149032
VLDLR,7436,P98155,NA,NA,NA,330,13,6626584.359
PKD1,5310,P98161,NA,NA,NA,840,NA,81542065
LRP2,4036,P98164,NA,NA,NA,74,10,77942778
EFNB1,1947,P98172,NA,NA,NA,1300,25,60040294.74
FAM3A,60343,P98173,NA,NA,NA,15,NA,NA
CYCS,54205,P99999,NA,NA,NA,170000,15,NA
PITPNA,5306,Q00169,NA,NA,NA,190,16,NA
MAT1A,4143,Q00266,NA,NA,NA,1900,19,91499889.25
HDLBP,3069,Q00341,NA,NA,NA,95,22,NA
PLCB2,5330,Q00722,NA,NA,NA,11,NA,NA
MYBPC1,4604,Q00872,NA,NA,NA,240,NA,NA
PSG9,5678,Q00887,NA,NA,NA,43000,15,NA
PSG11,5680,Q00887,NA,NA,NA,40000,NA,NA
PSG4,5672,Q00888,NA,NA,NA,58000,NA,NA
PSG6,5675,Q00889,NA,NA,NA,65000,NA,NA
B4GALNT1,2583,Q00973,NA,NA,NA,35,NA,NA
SET,6418,Q01105,NA,NA,NA,880,34,NA
SRSF2,6427,Q01130,NA,NA,NA,180,23,NA
IL5RA,3568,Q01344,NA,NA,NA,910,NA,NA
AMPD2,271,Q01433,NA,NA,NA,230,18,NA
CTBS,1486,Q01459,NA,NA,NA,370000,NA,NA
DEFA5,1670,Q01523,NA,NA,NA,110,13,122999567
DEFA6,1671,Q01524,NA,NA,NA,260,NA,NA
KRT76,51350,Q01546,NA,NA,NA,310000,23,177364965.2
IFITM2,10581,Q01629,NA,NA,NA,450,16,NA
IL1RL1,9173,Q01638,NA,NA,NA,3100,NA,NA
SLC7A5,8140,Q01650,NA,NA,NA,51,34,69563975
EWSR1,2130,Q01844,NA,NA,NA,59,18,NA
ROR1,4919,Q01973,NA,NA,NA,7700,17,NA
GUCY1A1,2982,Q02108,NA,NA,NA,7.1,NA,17171020
TNFRSF17,608,Q02223,NA,NA,NA,2000,12,NA
CNTN2,6900,Q02246,NA,NA,NA,58,NA,NA
ALDH6A1,4329,Q02252,NA,NA,NA,37,NA,26826880.81
SEMG2,6407,Q02383,NA,NA,NA,5000,NA,NA
COL7A1,1294,Q02388,NA,NA,NA,6,16,6455118.313
DSG1,1828,Q02413,NA,NA,NA,130000,18,83411807
GCNT1,2650,Q02742,NA,NA,NA,84,NA,NA
GUCA2A,2980,Q02747,NA,NA,NA,18000,NA,NA
TEK,7010,Q02763,NA,NA,NA,13000,NA,NA
CFHR3,10878,Q02985,NA,NA,NA,3100000,NA,109785384
TGFBR3,7049,Q03167,NA,NA,NA,50000,16,36368948.41
TFF2,7032,Q03403,NA,NA,NA,890,NA,377844538.1
PLAUR,5329,Q03405,NA,NA,NA,4100,22,32302108.75
CFHR1,3078,Q03591,NA,NA,NA,13000000,NA,58570686.38
COL10A1,1300,Q03692,NA,NA,NA,160,8,43525638.5
PRB3,5544,Q04118,NA,NA,NA,27000,NA,NA
UBXN1,51035,Q04323,NA,NA,NA,45,14,NA
EIF4G1,1981,Q04637,NA,NA,NA,330,32,NA
KRT17,3872,Q04695,NA,NA,NA,610000,18,186352859.5
NOTCH2,4853,Q04721,NA,NA,NA,160000,31,26032633.75
HGFAC,3083,Q04756,NA,NA,NA,9300000,NA,21516612.96
PLP2,5355,Q04941,NA,NA,NA,250,17,203450304
DNM1,1759,Q05193,NA,NA,NA,8.8,23,NA
CLC,1178,Q05315,NA,NA,NA,400,NA,203619363.9
PTK2,5747,Q05397,NA,NA,NA,25,16,NA
REG3A,5068,Q06141,NA,NA,NA,23000,NA,31535187.81
AOX1,316,Q06278,NA,NA,NA,3300,14,28131229.29
TYRO3,7301,Q06418,NA,NA,NA,17000,14,NA
SULT2A1,6822,Q06520,NA,NA,NA,1200,NA,143511734.4
ENPEP,2028,Q07075,NA,NA,NA,55000,8,22533448.17
DPT,1805,Q07507,NA,NA,NA,610,NA,12193171.63
TFF3,7033,Q07654,NA,NA,NA,6500,NA,184746802.8
BAX,581,Q07812,NA,NA,NA,1100,10,NA
KLC1,3831,Q07866,NA,NA,NA,14,29,NA
ACTN3,89,Q08043,NA,NA,NA,11000,9,66083678.84
TGM3,7053,Q08188,NA,NA,NA,14000,11,35580053.42
IL10RB,3588,Q08334,NA,NA,NA,1600,12,NA
DDR1,780,Q08345,NA,NA,NA,4400,18,50304379
LOXL1,4016,Q08397,NA,NA,NA,280,11,85545148.71
DMTN,2039,Q08495,NA,NA,NA,2400,NA,NA
DSC1,1823,Q08554,NA,NA,NA,27000,12,33267063.25
PUDP,8226,Q08623,NA,NA,NA,14,11,NA
FGL1,2267,Q08830,NA,NA,NA,57000,9,55401099.63
SIGLEC14,100049587,Q08ET2,NA,NA,NA,24000,NA,NA
MGAT3,4248,Q09327,NA,NA,NA,170,NA,65968087.25
MGAT5,4249,Q09328,NA,NA,NA,440,15,2901413.688
SYCN,342898,Q0VAF6,NA,NA,NA,920,NA,147233476
APOBR,55911,Q0VD83,NA,NA,NA,700,1,NA
SCRN3,79634,Q0VDG4,NA,NA,NA,27,NA,NA
NEXN,91624,Q0ZGT2,NA,NA,NA,2900,9,NA
MGAT2,4247,Q10469,NA,NA,NA,5100,2,65523190.5
BST1,683,Q10588,NA,NA,NA,190000,11,65744011.45
ST3GAL1,6482,Q11201,NA,NA,NA,860,7,17255049.13
ST3GAL4,6484,Q11206,NA,NA,NA,15,9,72602397.24
NUP160,23279,Q12769,NA,NA,NA,15,12,NA
HYAL1,3373,Q12794,NA,NA,NA,590,13,NA
CNTN1,1272,Q12860,NA,NA,NA,450000,19,89807577.55
CDH17,1015,Q12864,NA,NA,NA,7500,19,81685257.71
MERTK,10461,Q12866,NA,NA,NA,65000,16,13567907.25
FAP,2191,Q12884,NA,NA,NA,56000,12,NA
IRAG2,4033,Q12912,NA,NA,NA,6.7,NA,NA
PLA2R1,22925,Q13018,NA,NA,NA,960,NA,NA
PLA2G7,7941,Q13093,NA,NA,NA,290000,1,63871467
LCP2,3937,Q13094,NA,NA,NA,2900,NA,NA
GPS1,2873,Q13098,NA,NA,NA,78,24,NA
SPP2,6694,Q13103,NA,NA,NA,480000,13,81590393.25
MMRN1,22915,Q13201,NA,NA,NA,200000,NA,52554589.67
MYBPH,4608,Q13203,NA,NA,NA,9.7,NA,NA
SEMA3B,7869,Q13214,NA,NA,NA,790,9,NA
PAPPA,5069,Q13219,NA,NA,NA,78000,8,1813650.5
CHIT1,1118,Q13231,NA,NA,NA,57000,NA,NA
SRSF6,6431,Q13247,NA,NA,NA,50,25,NA
SEMA3F,6405,Q13275,NA,NA,NA,7900,8,NA
SLAMF1,6504,Q13291,NA,NA,NA,350,NA,NA
PABPC4,8761,Q13310,NA,NA,NA,850,28,NA
PTPRS,5802,Q13332,NA,NA,NA,150000,21,28631355.29
MFAP5,8076,Q13361,NA,NA,NA,3200,11,NA
MSLN,10232,Q13421,NA,NA,NA,17000,13,26394695.83
TCOF1,6949,Q13428,NA,NA,NA,18,11,NA
OS9,10956,Q13438,NA,NA,NA,10,NA,NA
ADAM15,8751,Q13444,NA,NA,NA,640,27,13387357.97
LSAMP,4045,Q13449,NA,NA,NA,150000,12,37791647.75
MYO9B,4650,Q13459,NA,NA,NA,8.4,21,NA
MADCAM1,8174,Q13477,NA,NA,NA,80000,NA,NA
ART3,419,Q13508,NA,NA,NA,48000,NA,NA
ASAH1,427,Q13510,NA,NA,NA,400,21,NA
EIF4EBP1,1978,Q13541,NA,NA,NA,44,NA,NA
CAMK2B,816,Q13554,NA,NA,NA,600,17,66057090.75
CAMK2G,818,Q13555,NA,NA,NA,200,19,NA
GRAP,10750,Q13588,NA,NA,NA,1400,NA,NA
SEMA5A,9037,Q13591,NA,NA,NA,13,12,NA
CUL1,8454,Q13616,NA,NA,NA,220,14,NA
CUL4B,8450,Q13620,NA,NA,NA,18,33,NA
TPBG,7162,Q13641,NA,NA,NA,310,21,24302086.08
FHL1,2273,Q13642,NA,NA,NA,12000,14,NA
LAMB3,3914,Q13751,NA,NA,NA,20,19,66567202.39
LAMC2,3918,Q13753,NA,NA,NA,130,18,30972734.13
APOF,319,Q13790,NA,NA,NA,2200000,NA,39951182.88
ITGA9,3680,Q13797,NA,NA,NA,500,15,49786971.41
ENPP2,5168,Q13822,NA,NA,NA,1200000,NA,39766950.56
PKP1,5317,Q13835,NA,NA,NA,2500,19,108229420.7
IL16,3603,Q14005,NA,NA,NA,7.3,NA,NA
CIRBP,1153,Q14011,NA,NA,NA,240,8,NA
CAMK1,8536,Q14012,NA,NA,NA,110,NA,11772893.31
BAAT,570,Q14032,NA,NA,NA,520,4,106390372.5
COL9A2,1298,Q14055,NA,NA,NA,510,NA,NA
COX17,10063,Q14061,NA,NA,NA,220,11,NA
SCARB2,950,Q14108,NA,NA,NA,9.2,28,NA
LRP8,7804,Q14114,NA,NA,NA,2000,13,NA
DPYS,1807,Q14117,NA,NA,NA,820,6,149880610.5
SEPTIN6,23157,Q14141,NA,NA,NA,2900,28,NA
UBAP2L,9898,Q14157,NA,NA,NA,67,7,NA
SCARF1,8578,Q14162,NA,NA,NA,2000,NA,NA
LY6D,8581,Q14210,NA,NA,NA,210,9,148873704.8
EBI3,10148,Q14213,NA,NA,NA,1400,10,NA
SELPLG,6404,Q14242,NA,NA,NA,2700,18,NA
FGL2,10875,Q14314,NA,NA,NA,7800,NA,32991864
FKBP8,23770,Q14318,NA,NA,NA,10,NA,37680059.25
MYBPC2,4606,Q14324,NA,NA,NA,420,NA,NA
LRRC32,2615,Q14392,NA,NA,NA,98,15,NA
GAS6,2621,Q14393,NA,NA,NA,3600,16,NA
PDE3A,5139,Q14432,NA,NA,NA,37000,NA,493629910.7
GALNT3,2591,Q14435,NA,NA,NA,440,14,33378333.42
CAPRIN1,4076,Q14444,NA,NA,NA,43,15,NA
WFDC2,10406,Q14508,NA,NA,NA,1600,1,NA
SPARCL1,8404,Q14515,NA,NA,NA,630000,NA,NA
KRT33B,3884,Q14525,NA,NA,NA,350000,3,355807812.3
KRT32,3882,Q14532,NA,NA,NA,210000,14,NA
KRT81,3887,Q14533,NA,NA,NA,130000,3,NA
SEMA3A,10371,Q14563,NA,NA,NA,1600,8,20163153.38
DSC3,1825,Q14574,NA,NA,NA,6000,13,35055025.75
IHH,3549,Q14623,NA,NA,NA,23000,NA,NA
PPP2R5D,5528,Q14738,NA,NA,NA,29,12,NA
GNMT,27232,Q14749,NA,NA,NA,390,NA,34221321.06
LTBP2,4053,Q14767,NA,NA,NA,14000,12,NA
CRYM,1428,Q14894,NA,NA,NA,150,12,27165724.12
MYBPC3,4607,Q14896,NA,NA,NA,21,NA,NA
OPCML,4978,Q14982,NA,NA,NA,7100,NA,NA
SLMAP,7871,Q14BN4,NA,NA,NA,9.2,NA,23529651.56
GAPVD1,26130,Q14C86,NA,NA,NA,46,19,NA
TMEM132D,121256,Q14C87,NA,NA,NA,110,NA,NA
CLCA4,22802,Q14CN2,NA,NA,NA,150,NA,403599643
NCAPD2,9918,Q15021,NA,NA,NA,34,28,13143997.13
NCF4,4689,Q15080,NA,NA,NA,7.8,NA,24024579.19
AGER,177,Q15109,NA,NA,NA,100,NA,218210630.3
PON3,5446,Q15166,NA,NA,NA,380000,NA,85844223.75
NECTIN1,5818,Q15223,NA,NA,NA,180000,12,13736901.5
PSG5,5673,Q15238,NA,NA,NA,22000,NA,NA
QPRT,23475,Q15274,NA,NA,NA,780,18,NA
RNPS1,10921,Q15287,NA,NA,NA,13,18,NA
ERBB4,2066,Q15303,NA,NA,NA,220,15,NA
KRT31,3881,Q15323,NA,NA,NA,440000,4,355807812.3
EPHA7,2045,Q15375,NA,NA,NA,660,12,NA
ANGPT1,284,Q15389,NA,NA,NA,110,8,NA
SEC23A,10484,Q15436,NA,NA,NA,83,25,NA
SHH,6469,Q15465,NA,NA,NA,5500,2,NA
FCN2,2220,Q15485,NA,NA,NA,1400000,NA,117609141
RGN,9104,Q15493,NA,NA,NA,280,13,125109869.8
TRIP10,9322,Q15642,NA,NA,NA,24,22,NA
TRIP13,9319,Q15645,NA,NA,NA,78,27,24259614.81
KISS1,3814,Q15726,NA,NA,NA,860,NA,NA
MYLK,4638,Q15746,NA,NA,NA,1500,NA,61498719.44
CD226,10666,Q15762,NA,NA,NA,20000,NA,NA
EFNB3,1949,Q15768,NA,NA,NA,11,21,NA
CHI3L2,1117,Q15782,NA,NA,NA,420,NA,NA
NPTX1,4884,Q15818,NA,NA,NA,1100,9,NA
CST6,1474,Q15828,NA,NA,NA,82000,13,NA
CLUL1,27098,Q15846,NA,NA,NA,11,NA,NA
ADIRF,10974,Q15847,NA,NA,NA,760,NA,50202355.38
ADIPOQ,9370,Q15848,NA,NA,NA,910000,NA,262857176
NTRK3,4916,Q16288,NA,NA,NA,19000,NA,NA
LAMA4,3910,Q16363,NA,NA,NA,320,25,NA
PRR4,11272,Q16378,NA,NA,NA,14000,NA,NA
EXT1,2131,Q16394,NA,NA,NA,17000,18,82930436.33
PCSK7,9159,Q16549,NA,NA,NA,8.4,NA,NA
LY6E,4061,Q16553,NA,NA,NA,44,12,3269619.102
DPYSL2,1808,Q16555,NA,NA,NA,3200,29,NA
PSG3,5671,Q16557,NA,NA,NA,67000,NA,NA
NTRK2,4915,Q16620,NA,NA,NA,20000,NA,101375835.6
CCL14,6358,Q16627,NA,NA,NA,37000,NA,NA
PRSS8,5652,Q16651,NA,NA,NA,4400,30,28637977.5
GUCA2B,2981,Q16661,NA,NA,NA,1200,NA,NA
CCL15,6359,Q16663,NA,NA,NA,11000,NA,NA
MIA,8190,Q16674,NA,NA,NA,64,11,NA
NDUFA5,4698,Q16718,NA,NA,NA,81,11,NA
QPCT,25797,Q16769,NA,NA,NA,390,13,45249346.17
KYAT1,883,Q16773,NA,NA,NA,22,NA,NA
HAGH,3029,Q16775,NA,NA,NA,2800,13,NA
LAMA3,3909,Q16787,NA,NA,NA,1800,18,66981895.51
MEP1A,4224,Q16819,NA,NA,NA,2100,2,91853770.26
MEP1B,4225,Q16820,NA,NA,NA,310,NA,NA
DDR2,4921,Q16832,NA,NA,NA,770,15,46759572
PTPRN,5798,Q16849,NA,NA,NA,38,NA,NA
AOC3,8639,Q16853,NA,NA,NA,240000,NA,182352963.4
TXNRD1,7296,Q16881,NA,NA,NA,6100,33,NA
IMMT,10989,Q16891,NA,NA,NA,220,7,NA
COL24A1,255631,Q17RW2,NA,NA,NA,52,7,NA
MSMP,692094,Q1L6U9,NA,NA,NA,30,14,NA
TMEM132A,54972,Q24JP5,NA,NA,NA,4100,NA,1238535.978
KRT24,192666,Q2M2I5,NA,NA,NA,300000,19,242758074.3
VWC2,375567,Q2TAL6,NA,NA,NA,39,NA,NA
KRTAP19-5,337972,Q3LI72,NA,NA,NA,1600,NA,NA
KRTAP13-4,284827,Q3LI77,NA,NA,NA,60,NA,965704071.2
KRT71,112802,Q3SY84,NA,NA,NA,110000,11,NA
GNPTAB,79158,Q3T906,NA,NA,NA,160,NA,NA
TIMM50,92609,Q3ZCQ8,NA,NA,NA,12,18,NA
FUT11,170384,Q495W5,NA,NA,NA,1200,NA,13273127.88
GXYLT1,283464,Q4G148,NA,NA,NA,3200,NA,9686448.375
CDON,50937,Q4KMG0,NA,NA,NA,15000,NA,NA
SVEP1,79987,Q4LDE5,NA,NA,NA,160000,13,24798210
FNDC1,84624,Q4ZHG4,NA,NA,NA,14,1,NA
PKDCC,91461,Q504Y2,NA,NA,NA,80,NA,14297634.06
KRTAP13-2,337959,Q52LG2,NA,NA,NA,1000,7,742200306.3
SEZ6,124925,Q53EL9,NA,NA,NA,310,NA,NA
CRTC2,200186,Q53ET0,NA,NA,NA,13,NA,NA
PDLIM3,27295,Q53GG5,NA,NA,NA,240,NA,NA
PLA1A,51365,Q53H76,NA,NA,NA,420,3,NA
LACTB2,51110,Q53H82,NA,NA,NA,37,21,NA
ARHGAP15,55843,Q53QZ3,NA,NA,NA,38,16,NA
FBLN7,129804,Q53RD9,NA,NA,NA,310,15,NA
ASPRV1,151516,Q53RT3,NA,NA,NA,150,NA,NA
HS1BP3,64342,Q53T59,NA,NA,NA,54,8,NA
SDK2,54549,Q58EX2,NA,NA,NA,5300,NA,NA
YIF1B,90522,Q5BJH7,NA,NA,NA,37,12,NA
OXLD1,339229,Q5BKU9,NA,NA,NA,12,NA,NA
C4orf48,401115,Q5BLP8,NA,NA,NA,190,NA,NA
FLG2,388698,Q5D862,NA,NA,NA,21000,4,16128682.13
SPINK9,643394,Q5DT21,NA,NA,NA,24,NA,NA
PRRT3,285368,Q5FWE3,NA,NA,NA,83,NA,NA
FREM1,158326,Q5H8C1,NA,NA,NA,58,NA,NA
PPP6R3,55291,Q5H9R7,NA,NA,NA,6.6,4,NA
CRB2,286204,Q5IJ48,NA,NA,NA,210,NA,NA
NHLRC3,387921,Q5JS37,NA,NA,NA,310,8,NA
WDR44,54521,Q5JSH3,NA,NA,NA,1800,NA,32514445.5
FGD3,89846,Q5JSP0,NA,NA,NA,11,NA,8984131.625
COA6,388753,Q5JTJ3,NA,NA,NA,13,NA,NA
COLEC12,81035,Q5KU26,NA,NA,NA,580,2,53859927
TBCEL,219899,Q5QJ74,NA,NA,NA,22,NA,32048742.31
PPM1L,151742,Q5SGD2,NA,NA,NA,26,NA,NA
LY6G6F,259215,Q5SQ64,NA,NA,NA,380,NA,NA
PHYHD1,254295,Q5SRE7,NA,NA,NA,36,NA,NA
MANEA,79694,Q5SRI9,NA,NA,NA,140,NA,NA
CEP170,9859,Q5SW79,NA,NA,NA,21,12,NA
FREM2,341640,Q5SZK8,NA,NA,NA,1500,9,2242460.938
TREML2,79865,Q5T2D2,NA,NA,NA,3400,NA,NA
KPRP,448834,Q5T749,NA,NA,NA,27000,19,109865721.2
C1orf68,100129271,Q5T750,NA,NA,NA,220,21,NA
MANEAL,149175,Q5VSG8,NA,NA,NA,47,NA,NA
OBSCN,84033,Q5VST9,NA,NA,NA,4500,NA,NA
RPRD2,23248,Q5VT52,NA,NA,NA,66,NA,6679866.938
MYOM3,127294,Q5VTT5,NA,NA,NA,830,NA,NA
CACHD1,57685,Q5VU97,NA,NA,NA,310,NA,NA
FAM171A1,221061,Q5VUB5,NA,NA,NA,130,22,7873417.688
ATRNL1,26033,Q5VV63,NA,NA,NA,160000,NA,NA
YOD1,55432,Q5VVQ6,NA,NA,NA,110,14,NA
PEAR1,375033,Q5VY43,NA,NA,NA,62000,NA,NA
KRT79,338785,Q5XKE5,NA,NA,NA,1900000,16,NA
RNF123,63891,Q5XPI4,NA,NA,NA,140,NA,21769752.13
RNF213,57674,Q63HN8,NA,NA,NA,3.5,30,NA
METRNL,284207,Q641Q3,NA,NA,NA,1300,12,NA
RAP1GAP2,23108,Q684P5,NA,NA,NA,21,NA,109524520.5
OLFML2A,169611,Q68BL7,NA,NA,NA,240,13,NA
OLFML2B,25903,Q68BL8,NA,NA,NA,12,9,40996213.25
CREB3L3,84699,Q68CJ9,NA,NA,NA,32,NA,NA
NCR3LG1,374383,Q68D85,NA,NA,NA,21,11,NA
KRT39,390792,Q6A163,NA,NA,NA,210,NA,NA
HBM,3042,Q6B0K9,NA,NA,NA,980,NA,177509940
DMKN,93099,Q6E0U4,NA,NA,NA,47000,NA,NA
VASN,114990,Q6EMK4,NA,NA,NA,2000000,8,63062028.25
SFRP4,6424,Q6FHJ7,NA,NA,NA,2500,11,31626868.3
PM20D1,148811,Q6GTS8,NA,NA,NA,3300,NA,NA
LAIR1,3903,Q6GTX8,NA,NA,NA,350,13,NA
ISM2,145501,Q6H9L7,NA,NA,NA,1100,NA,NA
GLYAT,10249,Q6IB77,NA,NA,NA,21,NA,70172503.35
TANGO2,128989,Q6ICL3,NA,NA,NA,200,NA,NA
TMEM132E,124842,Q6IEE7,NA,NA,NA,170,NA,NA
RCSD1,92241,Q6JBY9,NA,NA,NA,200,NA,NA
KRT80,144501,Q6KB66,NA,NA,NA,230000,8,140844883.6
HEPHL1,341208,Q6MZM0,NA,NA,NA,260000,NA,NA
PSAPL1,768239,Q6NUJ1,NA,NA,NA,31,NA,NA
TCTN3,26123,Q6NUS6,NA,NA,NA,4400,NA,NA
RGMB,285704,Q6NW40,NA,NA,NA,560,NA,NA
PPP1R18,170954,Q6NYC8,NA,NA,NA,11,7,NA
GGT6,124975,Q6P531,NA,NA,NA,72,NA,NA
C6orf58,352999,Q6P5S2,NA,NA,NA,30,NA,NA
NOTUM,147111,Q6P988,NA,NA,NA,1900,21,265826364.5
GALNT18,374378,Q6P9A2,NA,NA,NA,300,NA,NA
LILRA6,79168,Q6PI73,NA,NA,NA,21000,12,NA
CNST,163882,Q6PJW8,NA,NA,NA,480,NA,NA
OGFOD3,79701,Q6PK18,NA,NA,NA,9.7,NA,NA
APOA5,116519,Q6Q788,NA,NA,NA,21000,NA,NA
ADGRD1,283383,Q6QNK2,NA,NA,NA,1400,NA,NA
MTHFD1L,25902,Q6UB35,NA,NA,NA,89,12,NA
SPESP1,246777,Q6UW49,NA,NA,NA,52,NA,NA
POGLUT2,79070,Q6UW63,NA,NA,NA,44,NA,25957635
IL27RA,9466,Q6UWB1,NA,NA,NA,4900,NA,NA
GASK1B,51313,Q6UWH4,NA,NA,NA,13,NA,314963804.3
SUSD1,64420,Q6UWL2,NA,NA,NA,2300,14,NA
SBSN,374897,Q6UWP8,NA,NA,NA,89000,21,4745405.41
ENPP6,133121,Q6UWR7,NA,NA,NA,290,NA,4816873.25
C5orf46,389336,Q6UWT4,NA,NA,NA,54,NA,NA
ENPP7,339221,Q6UWV6,NA,NA,NA,450,3,29706748.5
CES3,23491,Q6UWW8,NA,NA,NA,1200,NA,NA
OLFML1,283298,Q6UWY5,NA,NA,NA,260,NA,21719527.5
LAYN,143903,Q6UX15,NA,NA,NA,340,13,NA
PLXDC2,84898,Q6UX71,NA,NA,NA,720000,NA,33781173.63
C16orf89,146556,Q6UX73,NA,NA,NA,1400,NA,8092294.25
PI16,221476,Q6UXB8,NA,NA,NA,2900000,NA,NA
SEZ6L2,26470,Q6UXD5,NA,NA,NA,5600,NA,NA
TMEM108,66000,Q6UXF1,NA,NA,NA,55,NA,NA
CD300LG,146894,Q6UXG3,NA,NA,NA,1400,NA,NA
ANGPTL8,55908,Q6UXH0,NA,NA,NA,350,NA,NA
CRELD2,79174,Q6UXH1,NA,NA,NA,480,NA,91850891.8
PAMR1,25891,Q6UXH9,NA,NA,NA,5600,NA,NA
VIT,5212,Q6UXI7,NA,NA,NA,140,12,NA
ISLR2,57611,Q6UXK2,NA,NA,NA,110,NA,NA
LRRN1,57633,Q6UXK5,NA,NA,NA,2400,NA,NA
FAT4,79633,Q6V0I7,NA,NA,NA,2300,11,28630350.25
PACS1,55690,Q6VY07,NA,NA,NA,17,NA,19882744
MUC6,4588,Q6W4X9,NA,NA,NA,75,4,NA
MPRIP,23164,Q6WCQ1,NA,NA,NA,29,8,NA
CHRDL2,25884,Q6WN34,NA,NA,NA,9700,NA,NA
IGSF10,285313,Q6WRI0,NA,NA,NA,540,14,NA
GLDN,342035,Q6ZMI3,NA,NA,NA,410,NA,NA
SCARA5,286133,Q6ZMJ2,NA,NA,NA,1400,NA,NA
NBEAL2,23218,Q6ZNJ1,NA,NA,NA,31,16,NA
QSOX2,169714,Q6ZRP7,NA,NA,NA,9600,15,17173155.5
CRACD,57482,Q6ZU35,NA,NA,NA,59,NA,NA
CCDC9B,388115,Q6ZUT6,NA,NA,NA,77,NA,NA
KIAA1549L,25758,Q6ZVL6,NA,NA,NA,160,10,NA
HJV,148738,Q6ZVN8,NA,NA,NA,69,NA,NA
NCCRP1,342897,Q6ZVX7,NA,NA,NA,400,10,5544735.5
RAPH1,65059,Q70E73,NA,NA,NA,69000,15,NA
FBN3,84467,Q75N90,NA,NA,NA,2400,7,NA
ADAMTS13,11093,Q76LX8,NA,NA,NA,120000,17,51250136.38
DOK3,79930,Q7L591,NA,NA,NA,240,NA,NA
COPS6,10980,Q7L5N1,NA,NA,NA,110,24,NA
ENOSF1,55556,Q7L5Y1,NA,NA,NA,7.3,NA,29270149.94
RASGRP2,10235,Q7LDG7,NA,NA,NA,1900,NA,22594470.71
CHST15,51363,Q7LFX5,NA,NA,NA,690,NA,NA
CHST3,9469,Q7LGC8,NA,NA,NA,690,NA,47347082.63
KRT74,121391,Q7RTS7,NA,NA,NA,130000,11,221910142.9
OTOA,146183,Q7RTW8,NA,NA,NA,51,NA,NA
LRRC70,100130733,Q7Z2Q7,NA,NA,NA,17,NA,NA
NEGR1,257194,Q7Z3B1,NA,NA,NA,380000,14,25829171.5
SZRD1,26099,Q7Z422,NA,NA,NA,17,NA,NA
HDDC2,51020,Q7Z4H3,NA,NA,NA,44,15,NA
