EntrezID	Gene	UNIPROT	common_p	Concentration	Ayuko_Ev_q
16	AARS1	P49588	P	620	87678900.75
2820	GPD2	P43304	P	620	20913760.16
11140	CDC37	Q16543	P	610	37292685.48
7284	TUFM	P49411	P	610	32231389.02
126133	ALDH16A1	Q8IZ83	P	600	110187652.8
57506	MAVS	Q7Z434	P	600	22065133.79
2628	GATM	P50440	P	600	83828579.25
29085	PHPT1	Q9NRX4	P	590	177706910.5
8942	KYNU	Q16719	P	590	52780143.02
9414	TJP2	Q9UDY2	P	580	17811207.15
9218	VAPA	Q9P0L0	P	580	40688522
134147	CMBL	Q96DG6	P	580	86281552.27
26578	OSTF1	Q92882	P	580	55531804.16
9208	LRRFIP1	Q32MZ4	P	580	12196052
6897	TARS1	P26639	P	580	71391328.58
553115	PEF1	Q9UBV8	P	570	35193541
10541	ANP32B	Q92688	P	570	90541975.75
5577	PRKAR2B	P31323	P	570	73502551.12
27101	CACYBP	Q9HB71	P	560	32198858.66
7263	TST	Q16762	P	560	116619788
5058	PAK1	Q13153	P	560	27376334.44
10970	CKAP4	Q07065	P	560	30952223.5
10121	ACTR1A	P61163	P	560	227108034.2
2617	GARS1	P41250	P	560	145651884.8
6188	RPS3	P23396	P	560	406357056.4
3098	HK1	P19367	P	560	31443725.53
25793	FBXO7	Q9Y3I1	P	550	30378313
55970	GNG12	Q9UBI6	P	550	110074399.6
307	ANXA4	P09525	P	550	497229342.5
9685	CLINT1	Q14677	P	540	43898236
10591	DNPH1	O43598	P	540	135555126
9377	COX5A	P20674	P	530	24972965
51347	TAOK3	Q9H2K8	P	520	24305957
6134	RPL10	P27635	P	520	210802141.9
151887	CCDC80	Q76M96	P	510	26864457.5
9647	PPM1F	P49593	P	510	20397521
2286	FKBP2	P26885	P	510	37596306
2775	GNAO1	P09471	P	510	624274988.1
55737	VPS35	Q96QK1	P	500	171360912
55611	OTUB1	Q96FW1	P	500	104436318.9
219	ALDH1B1	P30837	P	500	416438376.5
7345	UCHL1	P09936	P	500	92707070.83
23	ABCF1	Q8NE71	P	490	55645158.31
1778	DYNC1H1	Q14204	P	490	314637516.7
8073	PTP4A2	Q12974	P	490	52193266.94
6130	RPL7A	P62424	P	490	245487116.3
10606	PAICS	P22234	P	490	45420736.63
1728	NQO1	P15559	P	490	326661798.6
54928	BPNT2	Q9NX62	P	480	40890176.55
5481	PPID	Q08752	P	480	33087233.34
2288	FKBP4	Q02790	P	480	97665783.63
6632	SNRPD1	P62314	P	480	137822396.3
5878	RAB5C	P51148	P	480	267182462.2
2521	FUS	P35637	P	480	46820582.81
8894	EIF2S2	P20042	P	480	88191480.1
55127	HEATR1	Q9H583	P	470	20147085.25
55313	CPPED1	Q9BRF8	P	470	7578380.5
3157	HMGCS1	Q01581	P	470	38435986.92
3030	HADHA	P40939	P	470	34112756.56
6122	RPL3	P39023	P	470	397609319.4
3115	HLA-DPB1	P04440	P	470	79538054.66
2629	GBA	P04062	P	470	60202134
100	ADA	P00813	P	470	25993367.27
25816	TNFAIP8	O95379	P	470	47604061
10236	HNRNPR	O43390	P	470	260879988.8
57447	NDRG2	Q9UN36	P	460	50450733.78
6209	RPS15	P62841	P	460	66940997.84
10197	PSME3	P61289	P	460	40899840.38
9531	BAG3	O95817	P	460	22573632.88
55163	PNPO	Q9NVS9	P	450	29697907.65
23646	PLD3	Q8IV08	P	450	37058008.75
4841	NONO	Q15233	P	450	314875343
5239	PGM5	Q15124	P	450	30029769.5
5549	PRELP	P51888	P	450	78961573.21
3295	HSD17B4	P51659	P	450	47453275.08
178	AGL	P35573	P	450	72024714
6206	RPS12	P25398	P	450	221257439.1
293	SLC25A6	P12236	P	450	58140553
1977	EIF4E	P06730	P	450	145384045.8
30844	EHD4	Q9H223	P	440	99837664.17
284119	CAVIN1	Q6NZI2	P	440	42859808.13
1642	DDB1	Q16531	P	440	52805938.85
5019	OXCT1	P55809	P	440	27461153
4670	HNRNPM	P52272	P	440	141047508.5
