"UNIPROT"	"Entrez"	"symbol"	"GBM_GTEX.Y8DK.0011.R10A.SM.HAKY1"	"GBM_GTEX.UTHO.0011.R10A.SM.HAKY2"	"GBM_GTEX.R55F.0011.R10A.SM.HAKXY"	"GBM_GTEX.QVJO.0011.R10A.SM.HAKXV"	"GBM_GTEX.P44H.0011.R10A.SM.HAKXX"	"GBM_GTEX.RU72.0011.R10A.SM.HAKXS"	"GBM_GTEX.RN5K.0011.R10A.SM.HAKXU"	"GBM_GTEX.WVLH.0011.R10A.SM.HAKXZ"	"GBM_GTEX.Q2AG.0011.R10A.SM.HAKXT"	"GBM_GTEX.NPJ7.0011.R10A.SM.HAKXW"
"Q9NVJ2"	55207	"ARL8B"	0.61670734644218	0.742169252072755	0.208514847714638	0.248559753806173	1.45100221717342	0.887412021246749	0.774678224773266	0.86304975542047	0.393488664532447	0.033300997798251
"Q9NVK5"	26127	"FGFR1OP2"	1.03943341133292	0.947845232189539	1.24847421766251	1.00342105172869	1.00144254750138	1.07835206817896	1.40331416098788	0.945538641917423	1.20417058227755	0.894425040626452
"Q9NVM4"	54496	"PRMT7"	0.0354476307342943	-0.177867128013592	0.002090847945295	-0.265507242276114	0.0595705092969271	-0.165324534346676	-0.0886482333243094	-0.168049713087344	0.0519660999698915	0.558614542114406
"Q9NVM6"	55192	"DNAJC17"	-0.966729142423981	-0.925628574306172	-0.353350109853566	-0.810379363878284	0.260717483742367	-0.555421084723026	-0.690673327383749	-0.747069407208363	-0.334927201501276	-0.602892743346506
"Q9NVM9"	55726	"INTS13"	-0.960075799880446	-0.793887875882633	-0.510004989590872	-0.881201835650229	-0.567059527293759	-0.539938526661404	-0.791435993235206	-0.898804223997478	-0.832163295076796	-0.518783588236952
"Q9NVN3"	55188	"RIC8B"	-0.0466995351429099	0.32973350696111	0.0773824731189853	0.0628559258781271	0.205150953765218	-0.263206000373814	0.0464116287008305	0.927123096318196	0.14972825632753	0.232489057621281
"Q9NVN8"	54552	"GNL3L"	-1.25084758108665	-0.557604809508023	-0.165789736872426	-0.448738351875665	-0.358376254388016	-0.317283158519578	-0.427696545466068	-0.458749102903744	0.00660225676615165	-0.350477885743359
"Q9NVP1"	8886	"DDX18"	-1.22394674324693	-1.00991436433181	-0.670616735769601	-1.15647989354449	-0.704562564212071	-0.661940154275743	-0.893827990055923	-0.993246695103249	-0.770828123544346	-0.514249462565994
"Q9NVQ4"	55179	"FAIM"	0.018526616748435	0.449153163396601	0.162791993886725	-0.149948012327674	0.539053592440679	0.354457739956645	-0.118830792810921	-0.425909365473545	0.246564996363798	0.2227563706156
"Q9NVR0"	55175	"KLHL11"	0.376765068931774	0.548399053870037	0.446332510979914	0.38383329036487	0.368148483762563	0.407601135385429	0.341508648375798	0.434039054016434	0.43587334601162	0.628466181074361
