EntrezID,Gene,3250_overlap,protein_rank_3250,Core GESP Score ,Final GESP Score ,number of EXPERIMENT,Median
4352,MPL,NA,NA,8,10.5,NA,NA
79054,TRPM8,NA,NA,8,10.5,NA,NA
1493,CTLA4,NA,NA,8,10.5,NA,NA
27035,NOX1,NA,NA,8,10.5,NA,NA
54894,RNF43,NA,NA,8,10.5,9,NA
9076,CLDN1,NA,NA,8,10.5,25,49571198.5
50615,IL21R,NA,NA,8,10.5,NA,NA
55630,SLC39A4,NA,NA,8,10.5,15,12654489.5
3714,JAG2,NA,NA,8,10.5,NA,NA
56937,PMEPA1,NA,NA,8,10.5,NA,NA
101,ADAM8,NA,NA,8,10.5,NA,3946892.344
1137,CHRNA4,NA,NA,8,10.5,NA,NA
1201,CLN3,NA,NA,8,10.5,9,NA
5010,CLDN11,NA,NA,8,10.5,15,NA
219699,UNC5B,NA,NA,8,10.5,NA,NA
4071,TM4SF1,NA,NA,8,10.5,12,NA
8633,UNC5C,NA,NA,8,10.5,NA,NA
50617,ATP6V0A4,NA,NA,8,10.5,NA,83740588
2898,GRIK2,NA,NA,8,10.5,NA,NA
23495,TNFRSF13B,NA,NA,8,10.5,NA,NA
23418,CRB1,NA,NA,8,10.5,13,NA
6329,SCN4A,NA,NA,8,10.5,NA,NA
10100,TSPAN2,NA,NA,8,10.5,NA,NA
59341,TRPV4,NA,NA,8,10.5,8,NA
94,ACVRL1,NA,NA,8,10.5,NA,NA
3594,IL12RB1,NA,NA,8,10.5,NA,NA
25769,SLC24A2,NA,NA,8,10.5,NA,NA
6567,SLC16A2,NA,NA,8,10.5,14,30691166.5
10686,CLDN16,NA,NA,8,10.5,NA,NA
9037,SEMA5A,NA,NA,8,10.5,12,NA
491,ATP2B2,NA,NA,8,10.5,29,NA
80704,SLC19A3,NA,NA,8,10.5,NA,NA
10351,ABCA8,NA,NA,8,10.5,NA,NA
143458,LDLRAD3,NA,NA,8,10.5,NA,NA
27092,CACNG4,NA,NA,8,10.5,NA,NA
3682,ITGAE,NA,NA,8,10.5,NA,NA
9398,CD101,NA,NA,8,10.5,12,25354426.03
10008,KCNE3,NA,NA,8,10.5,NA,NA
2196,FAT2,NA,NA,8,10.5,13,68338877.83
113,ADCY7,NA,NA,8,10.5,14,7553818.531
2561,GABRB2,NA,NA,8,10.5,NA,NA
2904,GRIN2B,NA,NA,8,10.5,NA,NA
2210,FCGR1B,NA,NA,8,10.5,NA,NA
57535,KIAA1324,NA,NA,8,10.5,11,84397534.63
254428,SLC41A1,NA,NA,8,10.5,NA,NA
117247,SLC16A10,NA,NA,8,10.5,15,NA
4284,MIP,NA,NA,8,10.5,NA,NA
56114,PCDHGA1,NA,NA,8,10.5,NA,NA
6324,SCN1B,NA,NA,8,10.5,NA,NA
57685,CACHD1,NA,NA,8,10.5,NA,NA
747,DAGLA,NA,NA,8,10.5,NA,NA
94030,LRRC4B,NA,NA,8,10.5,NA,NA
80024,SLC8B1,NA,NA,8,10.5,NA,NA
345757,FAM174A,NA,NA,8,10.5,NA,NA
126755,LRRC38,NA,NA,8,10.5,NA,NA
4225,MEP1B,NA,NA,8,10.5,NA,NA
153,ADRB1,NA,NA,8,10,NA,NA
2859,GPR35,NA,NA,8,10,NA,NA
10663,CXCR6,NA,NA,8,10,NA,NA
6751,SSTR1,NA,NA,8,10,NA,NA
2847,MCHR1,NA,NA,8,10,NA,NA
81285,OR51E2,NA,NA,8,10,NA,NA
846,CASR,NA,NA,8,10,10,NA
59350,RXFP1,NA,NA,8,10,NA,NA
146,ADRA1D,NA,NA,8,10,7,NA
151306,GPBAR1,NA,NA,8,10,NA,NA
5067,CNTN3,NA,NA,8,10,NA,NA
126014,OSCAR,NA,NA,8,10,NA,NA
624,BDKRB2,NA,NA,8,10,2,NA
2151,F2RL2,NA,NA,8,10,NA,NA
23566,LPAR3,NA,NA,8,10,NA,NA
26996,GPR160,NA,NA,8,10,NA,NA
59352,LGR6,NA,NA,8,10,NA,NA
136,ADORA2B,NA,NA,8,10,NA,NA
2826,CCR10,NA,NA,8,10,NA,NA
2829,XCR1,NA,NA,8,10,NA,NA
57512,GPR158,NA,NA,8,10,NA,NA
338557,FFAR4,NA,NA,8,10,NA,NA
8326,FZD9,NA,NA,8,10,NA,NA
2918,GRM8,NA,NA,8,10,NA,NA
1237,CCR8,NA,NA,8,10,NA,NA
2843,GPR20,NA,NA,8,10,NA,NA
2587,GALR1,NA,NA,8,10,NA,NA
719,C3AR1,NA,NA,8,10,NA,NA
3973,LHCGR,NA,NA,8,10,NA,NA
1232,CCR3,NA,NA,8,10,NA,NA
2850,GPR27,NA,NA,8,10,NA,NA
8843,HCAR3,NA,NA,8,10,NA,NA
148,ADRA1A,NA,NA,8,10,NA,NA
155,ADRB3,NA,NA,8,10,NA,NA
83756,TAS1R3,NA,NA,8,10,NA,NA
553,AVPR1B,NA,NA,8,10,NA,NA
11148,HHLA2,NA,NA,8,10,NA,NA
10887,PROKR1,NA,NA,8,10,NA,NA
2848,GPR25,NA,NA,8,10,NA,NA
64106,NPFFR1,NA,NA,8,10,NA,NA
6754,SSTR4,NA,NA,8,10,NA,NA
128674,PROKR2,NA,NA,8,10,NA,NA
3362,HTR6,NA,NA,8,10,NA,NA
3360,HTR4,NA,NA,8,10,NA,NA
2917,GRM7,NA,NA,8,10,NA,NA
8811,GALR2,NA,NA,8,10,NA,NA
8484,GALR3,NA,NA,8,10,NA,NA
2914,GRM4,NA,NA,8,10,NA,NA
390072,OR52N4,NA,NA,8,10,NA,NA
119774,OR52K2,NA,NA,8,10,NA,NA
390079,OR52E8,NA,NA,8,10,NA,NA
680,BRS3,NA,NA,8,10,NA,NA
401665,OR51T1,NA,NA,8,10,NA,NA
390083,OR56A3,NA,NA,8,10,NA,NA
196335,OR56B4,NA,NA,8,10,NA,NA
2916,GRM6,NA,NA,8,10,NA,NA
401666,OR51A4,NA,NA,8,10,NA,NA
83550,GPR101,NA,NA,8,10,NA,NA
390442,OR11H4,NA,NA,8,10,NA,NA
79339,OR51B4,NA,NA,8,10,NA,NA
338751,OR52L1,NA,NA,8,10,NA,NA
3361,HTR5A,NA,NA,8,10,NA,NA
119694,OR51F2,NA,NA,8,10,14,NA
390084,OR56A5,NA,NA,8,10,NA,NA
401663,OR51H1,NA,NA,8,10,NA,NA
390061,OR51Q1,NA,NA,8,10,NA,NA
390078,OR52E6,NA,NA,8,10,NA,NA
390059,OR51M1,NA,NA,8,10,NA,NA
26532,OR10H3,NA,NA,8,10,NA,NA
1133,CHRM5,NA,NA,8,10,NA,NA
120796,OR56A1,NA,NA,8,10,NA,NA
344758,GPR149,NA,NA,8,10,11,NA
219874,OR6T1,NA,NA,8,10,NA,NA
390058,OR51B6,NA,NA,8,10,NA,NA
119687,OR51A7,NA,NA,8,10,NA,NA
119678,OR52E2,NA,NA,8,10,NA,NA
2652,OPN1MW,NA,NA,8,10,NA,NA
401667,OR51A2,NA,NA,8,10,NA,NA
119692,OR51S1,NA,NA,8,10,NA,NA
119772,OR52M1,NA,NA,8,10,NA,NA
390054,OR52A5,NA,NA,8,10,NA,NA
390038,OR51D1,NA,NA,8,10,NA,NA
143502,OR52I2,NA,NA,8,10,NA,NA
390037,OR52I1,NA,NA,8,10,NA,NA
23538,OR52A1,NA,NA,8,10,NA,NA
79473,OR52N1,NA,NA,8,10,NA,NA
120793,OR56A4,NA,NA,8,10,NA,NA
134391,GPR151,NA,NA,8,10,NA,NA
119682,OR51L1,NA,NA,8,10,NA,NA
390081,OR52E4,NA,NA,8,10,NA,NA
390063,OR51I1,NA,NA,8,10,NA,NA
390077,OR52N2,NA,NA,8,10,NA,NA
390154,OR5T3,NA,NA,8,10,NA,NA
340980,OR52B6,NA,NA,8,10,NA,NA
390075,OR52N5,NA,NA,8,10,NA,NA
120787,OR52W1,NA,NA,8,10,NA,NA
138805,OR13F1,NA,NA,8,10,NA,NA
390036,OR52K1,NA,NA,8,10,NA,NA
1950,EGF,NA,NA,8,9.5,NA,NA
2346,FOLH1,NA,NA,8,9.5,NA,18351904.42
85320,ABCC11,NA,NA,8,9.5,11,NA
5798,PTPRN,NA,NA,8,9.5,NA,NA
23213,SULF1,NA,NA,8,9.5,15,NA
10894,LYVE1,NA,NA,8,9.5,NA,NA
5172,SLC26A4,NA,NA,8,9.5,NA,NA
7100,TLR5,NA,NA,8,9.5,NA,NA
3820,KLRB1,NA,NA,8,9.5,NA,NA
81501,DCSTAMP,NA,NA,8,9.5,NA,NA
3359,HTR3A,NA,NA,8,9.5,NA,NA
26154,ABCA12,NA,NA,8,9.5,NA,NA
7122,CLDN5,NA,NA,8,9.5,1,4641695.75
3751,KCND2,NA,NA,8,9.5,NA,NA
50632,CALY,NA,NA,8,9.5,NA,NA
107,ADCY1,NA,NA,8,9.5,NA,NA
8912,CACNA1H,NA,NA,8,9.5,NA,NA
26047,CNTNAP2,NA,NA,8,9.5,NA,NA
91653,BOC,NA,NA,8,9.5,NA,NA
2893,GRIA4,NA,NA,8,9.5,NA,NA
50506,DUOX2,NA,NA,8,9.5,NA,12397269.35
59283,CACNG8,NA,NA,8,9.5,NA,NA
340024,SLC6A19,NA,NA,8,9.5,NA,NA
2890,GRIA1,NA,NA,8,9.5,NA,NA
51267,CLEC1A,NA,NA,8,9.5,NA,NA
7104,TM4SF4,NA,NA,8,9.5,NA,NA
3595,IL12RB2,NA,NA,8,9.5,NA,NA
2702,GJA5,NA,NA,8,9.5,15,NA
2262,GPC5,NA,NA,8,9.5,NA,NA
9378,NRXN1,NA,NA,8,9.5,NA,NA
2556,GABRA3,NA,NA,8,9.5,NA,NA
200931,SLC51A,NA,NA,8,9.5,NA,NA
2563,GABRD,NA,NA,8,9.5,NA,NA
55966,AJAP1,NA,NA,8,9.5,NA,NA
1804,DPP6,NA,NA,8,9.5,NA,NA
3737,KCNA2,NA,NA,8,9.5,NA,NA
81796,SLCO5A1,NA,NA,8,9.5,NA,NA
5100,PCDH8,NA,NA,8,9.5,NA,NA
126259,TMIGD2,NA,NA,8,9.5,8,NA
2900,GRIK4,NA,NA,8,9.5,NA,NA
6555,SLC10A2,NA,NA,8,9.5,NA,NA
2709,GJB5,NA,NA,8,9.5,NA,NA
1949,EFNB3,NA,NA,8,9.5,21,NA
2897,GRIK1,NA,NA,8,9.5,6,NA
9542,NRG2,NA,NA,8,9.5,NA,NA
51348,KLRF1,NA,NA,8,9.5,NA,NA
170850,KCNG3,NA,NA,8,9.5,NA,NA
3787,KCNS1,NA,NA,8,9.5,NA,NA
3741,KCNA5,NA,NA,8,9.5,NA,NA
3748,KCNC3,NA,NA,8,9.5,NA,NA
9121,SLC16A5,NA,NA,8,9.5,NA,NA
22865,SLITRK3,NA,NA,8,9.5,NA,NA
6529,SLC6A1,NA,NA,8,9.5,NA,NA
57556,SEMA6A,NA,NA,8,9.5,NA,NA
9856,KIAA0319,NA,NA,8,9.5,5,NA
3755,KCNG1,NA,NA,8,9.5,NA,NA
387700,SLC16A12,NA,NA,8,9.5,NA,NA
64078,SLC28A3,NA,NA,8,9.5,NA,NA
57165,GJC2,NA,NA,8,9.5,NA,NA
3746,KCNC1,NA,NA,8,9.5,NA,NA
55584,CHRNA9,NA,NA,8,9.5,NA,NA
2984,GUCY2C,NA,NA,8,9.5,NA,NA
120103,SLC36A4,NA,NA,8,9.5,NA,NA
2567,GABRG3,NA,NA,8,9.5,NA,NA
81033,KCNH6,NA,NA,8,9.5,NA,NA
163404,LPPR5,NA,NA,8,9.5,NA,NA
84866,TMEM25,NA,NA,8,9.5,NA,NA
2568,GABRP,NA,NA,8,9.5,NA,NA
222256,CDHR3,NA,NA,8,9.5,NA,NA
56659,KCNK13,NA,NA,8,9.5,NA,NA
9154,SLC28A1,NA,NA,8,9.5,NA,NA
1140,CHRNB1,NA,NA,8,9.5,NA,NA
10089,KCNK7,NA,NA,8,9.5,NA,NA
8869,ST3GAL5,NA,NA,8,9.5,NA,NA
152404,IGSF11,NA,NA,8,9.5,NA,NA
1016,CDH18,NA,NA,8,9.5,NA,NA
8808,IL1RL2,NA,NA,8,9.5,NA,NA
2564,GABRE,NA,NA,8,9.5,NA,NA
2701,GJA4,NA,NA,8,9.5,NA,NA
145389,SLC38A6,NA,NA,8,9.5,NA,NA
388611,CD164L2,NA,NA,8,9.5,NA,NA
57210,SLC45A4,NA,NA,8,9.5,NA,NA
80055,PGAP1,NA,NA,8,9.5,NA,NA
124925,SEZ6,NA,NA,8,9.5,NA,NA
204962,SLC44A5,NA,NA,8,9.5,NA,NA
2743,GLRB,NA,NA,8,9.5,NA,NA
83850,ESYT3,NA,NA,8,9.5,NA,NA
3736,KCNA1,NA,NA,8,9.5,NA,NA
114625,ERMAP,NA,NA,8,9.5,NA,NA
24146,CLDN15,NA,NA,8,9.5,4,NA
56111,PCDHGA4,NA,NA,8,9.5,NA,NA
641700,ECSCR,NA,NA,8,9.5,NA,NA
93107,KCNG4,NA,NA,8,9.5,NA,NA
1145,CHRNE,NA,NA,8,9.5,NA,NA
27133,KCNH5,NA,NA,8,9.5,NA,NA
116254,GINM1,NA,NA,8,9.5,NA,NA
57369,GJD2,NA,NA,8,9.5,NA,NA
6559,SLC12A3,NA,NA,8,9.5,NA,NA
2565,GABRG1,NA,NA,8,9.5,NA,NA
93377,OPALIN,NA,NA,8,9.5,NA,NA
57101,ANO2,NA,NA,8,9.5,NA,NA
2560,GABRB1,NA,NA,8,9.5,NA,NA
116443,GRIN3A,NA,NA,8,9.5,NA,NA
51266,CLEC1B,NA,NA,8,9.5,NA,NA
1088,CEACAM8,NA,NA,8,9.5,13,33634688.75
1005,CDH7,NA,NA,8,9.5,NA,8152427.5
3386,ICAM4,NA,NA,8,9.5,NA,NA
2557,GABRA4,NA,NA,8,9.5,NA,NA
2742,GLRA2,NA,NA,8,9.5,NA,NA
496,ATP4B,NA,NA,8,9.5,12,NA
49861,CLDN20,NA,NA,8,9.5,NA,NA
125111,GJD3,NA,NA,8,9.5,NA,NA
133482,SLCO6A1,NA,NA,8,9.5,NA,NA
56147,PCDHA1,NA,NA,8,9.5,NA,NA
2559,GABRA6,NA,NA,8,9.5,NA,NA
56144,PCDHA4,NA,NA,8,9.5,NA,NA
26285,CLDN17,NA,NA,8,9.5,NA,NA
1142,CHRNB3,NA,NA,8,9.5,NA,NA
1010,CDH12,NA,NA,8,9.5,NA,NA
696,BTN1A1,NA,NA,8,9.5,NA,NA
119679,OR52J3,NA,NA,8,9.5,NA,NA
259215,LY6G6F,NA,NA,8,9.5,NA,NA
2719,GPC3,NA,NA,8,9,NA,37628612.85
6900,CNTN2,NA,NA,8,9,NA,NA
200958,MUC20,NA,NA,8,9,2,NA
8029,CUBN,NA,NA,8,9,NA,NA
5314,PKHD1,NA,NA,8,9,NA,NA
266727,MDGA1,NA,NA,8,9,NA,NA
353514,LILRA5,NA,NA,8,9,NA,NA
8000,PSCA,NA,NA,8,8.5,23,175205659.9
251,ALPPL2,NA,NA,8,8.5,22,18475151.46
55959,SULF2,NA,NA,8,8.5,22,18930934.98
388630,TRABD2B,NA,NA,8,8.5,NA,NA
284,ANGPT1,NA,NA,8,8,8,NA
248,ALPI,NA,NA,8,8,7,37904839.52
28755,TRAC,NA,NA,8,8,NA,NA
7416,VDAC1,P,1943,7,16,25,62088694.2
3710,ITPR3,P,503,7,14.5,17,26115404
54495,TMX3,P,1430,7,14.5,14,13657500.21
2023,ENO1,P,2190,7,14,49,1841811609
3312,HSPA8,P,2405,7,14,50,1714145770
5310,PKD1,NA,NA,7,13.5,NA,81542065
8884,SLC5A6,NA,NA,7,13.5,19,79851998
23646,PLD3,P,2469,7,13.5,25,37058008.75
5445,PON2,P,1765,7,13,12,24997696.75
728,C5AR1,NA,NA,7,13,NA,31714086.75
301,ANXA1,P,1852,7,13,50,429078095.4
3321,IGSF3,NA,NA,7,13,26,39522401.78
10803,CCR9,NA,NA,7,13,NA,NA
10410,IFITM3,NA,NA,7,12.5,23,42758652.38
8671,SLC4A4,NA,NA,7,12.5,1,30484586
7436,VLDLR,NA,NA,7,12.5,13,6626584.359
8751,ADAM15,NA,NA,7,12.5,27,13387357.97
26503,SLC17A5,NA,NA,7,12.5,10,38953152.25
57670,KIAA1549,NA,NA,7,12.5,NA,NA
6810,STX4,P,1921,7,12.5,34,37329237.29
79581,SLC52A2,NA,NA,7,12.5,19,NA
6522,SLC4A2,NA,NA,7,12.5,22,29217835.25
285761,DCBLD1,NA,NA,7,12.5,NA,NA
2124,EVI2B,P,1828,7,12.5,13,17660650
55788,LMBRD1,NA,NA,7,12.5,14,NA
51599,LSR,NA,NA,7,12.5,35,NA
54407,SLC38A2,NA,NA,7,12.5,15,62260469
57515,SERINC1,P,2111,7,12.5,24,5545181
51293,CD320,NA,NA,7,12.5,11,135796714.8
5745,PTH1R,NA,NA,7,12,NA,NA
3071,NCKAP1L,P,1501,7,12,17,35960140.38
4240,MFGE8,P,2300,7,12,44,233161951.1
5028,P2RY1,NA,NA,7,12,NA,NA
81544,GDPD5,NA,NA,7,12,13,NA
6010,RHO,NA,NA,7,12,NA,NA
51704,GPRC5B,NA,NA,7,12,13,24871709.38
122618,PLD4,NA,NA,7,12,NA,NA
2239,GPC4,P,2944,7,12,26,60945340.05
10618,TGOLN2,P,1283,7,12,17,23003830.43
135,ADORA2A,NA,NA,7,12,NA,NA
2706,GJB2,NA,NA,7,11.5,14,NA
79602,ADIPOR2,NA,NA,7,11.5,1,NA
57124,CD248,NA,NA,7,11.5,NA,30002783.05
26018,LRIG1,NA,NA,7,11.5,NA,27064909.38
10312,TCIRG1,P,1409,7,11.5,23,63272488.29
162514,TRPV3,NA,NA,7,11.5,NA,NA
199731,CADM4,NA,NA,7,11.5,19,NA
22883,CLSTN1,P,1521,7,11.5,35,42750297.93
1139,CHRNA7,NA,NA,7,11.5,NA,NA
113791,PIK3IP1,NA,NA,7,11.5,NA,NA
121260,SLC15A4,NA,NA,7,11.5,11,NA
28962,OSTM1,NA,NA,7,11.5,12,NA
27293,SMPDL3B,NA,NA,7,11.5,25,43031582.23
10548,TM9SF1,NA,NA,7,11.5,1,NA
10791,VAMP5,P,2249,7,11.5,12,9297481.781
5024,P2RX3,NA,NA,7,11.5,NA,NA
480,ATP1A4,NA,NA,7,11.5,27,NA
4854,NOTCH3,NA,NA,7,11,18,9880142
775,CACNA1C,NA,NA,7,11,NA,NA
1268,CNR1,NA,NA,7,11,NA,NA
1128,CHRM1,NA,NA,7,11,NA,NA
4987,OPRL1,NA,NA,7,11,NA,NA
1880,GPR183,NA,NA,7,11,14,NA
781,CACNA2D1,P,2812,7,11,20,32940712.2
3061,HCRTR1,NA,NA,7,11,NA,NA
1814,DRD3,NA,NA,7,11,NA,NA
4985,OPRD1,NA,NA,7,11,NA,NA
2915,GRM5,NA,NA,7,11,NA,NA
3062,HCRTR2,NA,NA,7,11,NA,NA
6382,SDC1,P,1995,7,10.5,19,69694288.54
657,BMPR1A,NA,NA,7,10.5,3,34871647.5
9074,CLDN6,NA,NA,7,10.5,10,20190894.25
2045,EPHA7,NA,NA,7,10.5,12,NA
5045,FURIN,NA,NA,7,10.5,NA,NA
5066,PAM,NA,NA,7,10.5,7,9490565.125
3776,KCNK2,NA,NA,7,10.5,NA,NA
10223,GPA33,NA,NA,7,10.5,18,204147153.6
10333,TLR6,NA,NA,7,10.5,NA,99233651.13
20,ABCA2,NA,NA,7,10.5,14,2797518.938
57194,ATP10A,NA,NA,7,10.5,11,NA
57575,PCDH10,NA,NA,7,10.5,NA,NA
6337,SCNN1A,NA,NA,7,10.5,NA,NA
477,ATP1A2,NA,NA,7,10.5,25,NA
54991,C1orf159,NA,NA,7,10.5,NA,NA
22918,CD93,NA,NA,7,10.5,NA,29238474
6583,SLC22A4,NA,NA,7,10.5,NA,NA
2554,GABRA1,NA,NA,7,10.5,NA,NA
84910,TMEM87B,NA,NA,7,10.5,5,NA
26050,SLITRK5,NA,NA,7,10.5,NA,NA
9936,CD302,NA,NA,7,10.5,NA,NA
222223,KIAA1324L,NA,NA,7,10.5,NA,NA
9424,KCNK6,NA,NA,7,10.5,NA,NA
54868,TMEM104,NA,NA,7,10.5,NA,NA
57613,KIAA1467,NA,NA,7,10.5,NA,NA
10479,SLC9A6,NA,NA,7,10.5,13,NA
57583,TMEM181,NA,NA,7,10.5,NA,19887202.5
50801,KCNK4,NA,NA,7,10.5,NA,NA
64220,STRA6,NA,NA,7,10,12,NA
22859,ADGRL1,NA,NA,7,10,4,NA
1812,DRD1,NA,NA,7,10,NA,NA
57105,CYSLTR2,NA,NA,7,10,NA,NA
3120,HLA-DQB2,NA,NA,7,10,NA,NA
29909,GPR171,NA,NA,7,10,NA,NA
3507,IGHM,P,3212,7,10,1,2729778819
4543,MTNR1A,NA,NA,7,10,NA,NA
4887,NPY2R,NA,NA,7,10,NA,NA
3136,HLA-H,NA,NA,7,10,1,196611749.5
390326,OR6C76,NA,NA,7,10,NA,NA
10630,PDPN,NA,NA,7,9.5,NA,NA
8714,ABCC3,NA,NA,7,9.5,18,33411818.24
3036,HAS1,NA,NA,7,9.5,NA,NA
3084,NRG1,NA,NA,7,9.5,NA,NA
8793,TNFRSF10D,NA,NA,7,9.5,25,49576638.81
10052,GJC1,NA,NA,7,9.5,11,NA
538,ATP7A,P,910,7,9.5,17,7762020.922
57823,SLAMF7,NA,NA,7,9.5,NA,NA
27074,LAMP3,NA,NA,7,9.5,NA,NA
91147,TMEM67,NA,NA,7,9.5,NA,NA
8794,TNFRSF10C,NA,NA,7,9.5,NA,NA
10568,SLC34A2,NA,NA,7,9.5,17,119813083.5
79633,FAT4,NA,NA,7,9.5,11,28630350.25
23461,ABCA5,NA,NA,7,9.5,NA,NA
148738,HFE2,NA,NA,7,9.5,NA,NA
685,BTC,NA,NA,7,9.5,NA,NA
3777,KCNK3,NA,NA,7,9.5,NA,NA
2823,GPM6A,NA,NA,7,9.5,16,55190860.44
79465,ULBP3,NA,NA,7,9.5,14,NA
51754,TMEM8B,NA,NA,7,9.5,NA,NA
64240,ABCG5,NA,NA,7,9.5,NA,NA
10098,TSPAN5,NA,NA,7,9.5,10,NA
57125,PLXDC1,NA,NA,7,9.5,NA,NA
2013,EMP2,NA,NA,7,9.5,NA,17884823.63
10712,FAM189B,NA,NA,7,9.5,9,NA
11025,LILRB3,NA,NA,7,9.5,NA,NA
11309,SLCO2B1,NA,NA,7,9.5,NA,NA
495,ATP4A,NA,NA,7,9.5,24,170700786
64072,CDH23,NA,NA,7,9.5,NA,NA
2903,GRIN2A,NA,NA,7,9.5,15,NA
2895,GRID2,NA,NA,7,9.5,NA,NA
24141,LAMP5,NA,NA,7,9.5,NA,NA
153562,MARVELD2,NA,NA,7,9.5,10,NA
79895,ATP8B4,NA,NA,7,9.5,12,NA
66035,SLC2A11,NA,NA,7,9.5,NA,NA
120114,FAT3,NA,NA,7,9.5,17,NA
3117,HLA-DQA2,NA,NA,7,9.5,NA,33981073.81
10861,SLC26A1,NA,NA,7,9.5,NA,NA
4593,MUSK,NA,NA,7,9.5,NA,NA
118813,ZFYVE27,NA,NA,7,9.5,NA,NA
56133,PCDHB2,NA,NA,7,9.5,NA,NA
55002,TMCO3,NA,NA,7,9.5,NA,NA
126364,LRRC25,NA,NA,7,9.5,NA,NA
388512,CLEC17A,NA,NA,7,9.5,NA,NA
3547,IGSF1,NA,NA,7,9.5,NA,377195872.5
23556,PIGN,NA,NA,7,9.5,NA,NA
51768,TM7SF3,NA,NA,7,9.5,10,NA
11342,RNF13,NA,NA,7,9.5,14,NA
51296,SLC15A3,NA,NA,7,9.5,NA,NA
285368,PRRT3,NA,NA,7,9.5,NA,NA
91,ACVR1B,NA,NA,7,9.5,2,NA
256471,MFSD8,NA,NA,7,9.5,NA,NA
54621,VSIG10,NA,NA,7,9.5,NA,NA
55716,LMBR1L,NA,NA,7,9.5,NA,NA
29988,SLC2A8,NA,NA,7,9.5,NA,NA
3753,KCNE1,NA,NA,7,9.5,9,NA
57582,KCNT1,NA,NA,7,9.5,NA,NA
3812,KIR3DL2,NA,NA,7,9.5,13,NA
8778,SIGLEC5,NA,NA,7,9.5,NA,11114908.5
83259,PCDH11Y,NA,NA,7,9.5,NA,NA
2852,GPER1,NA,NA,7,9,NA,NA
4157,MC1R,NA,NA,7,9,NA,NA
1524,CX3CR1,NA,NA,7,9,NA,NA
6752,SSTR2,NA,NA,7,9,NA,NA
288,ANK3,P,2804,7,9,14,24677179.53
143503,OR51E1,NA,NA,7,9,NA,NA
117,ADCYAP1R1,NA,NA,7,9,NA,NA
5031,P2RY6,NA,NA,7,9,3,NA
2913,GRM3,NA,NA,7,9,NA,NA
2827,GPR3,NA,NA,7,9,NA,NA
2532,ACKR1,NA,NA,7,9,NA,NA
6609,SMPD1,NA,NA,7,9,NA,71480283.38
8742,TNFSF12,NA,NA,7,9,NA,NA
4935,GPR143,NA,NA,7,9,12,NA
4758,NEU1,P,445,7,9,11,40815636.48
56963,RGMA,NA,NA,7,9,NA,NA
575,ADGRB1,NA,NA,7,9,NA,NA
2828,GPR4,NA,NA,7,9,NA,NA
5737,PTGFR,NA,NA,7,9,NA,NA
11255,HRH3,NA,NA,7,9,NA,NA
8111,GPR68,NA,NA,7,9,NA,NA
2840,GPR17,NA,NA,7,9,NA,NA
11211,FZD10,NA,NA,7,9,NA,NA
84109,QRFPR,NA,NA,7,9,NA,NA
576,ADGRB2,NA,NA,7,9,NA,NA
53829,P2RY13,NA,NA,7,9,NA,NA
2015,ADGRE1,NA,NA,7,9,NA,NA
343171,OR2W3,NA,NA,7,9,NA,NA
206358,SLC36A1,NA,NA,7,9,NA,NA
887,CCKBR,NA,NA,7,9,NA,NA
8325,FZD8,NA,NA,7,9,NA,NA
2867,FFAR2,NA,NA,7,9,NA,NA
26020,LRP10,NA,NA,7,9,13,NA
165140,OXER1,NA,NA,7,9,NA,NA
27202,C5AR2,NA,NA,7,9,NA,NA
3274,HRH2,NA,NA,7,9,NA,NA
2841,GPR18,NA,NA,7,9,NA,NA
6753,SSTR3,NA,NA,7,9,NA,NA
2831,NPBWR1,NA,NA,7,9,NA,NA
1238,ACKR2,NA,NA,7,9,NA,NA
2693,GHSR,NA,NA,7,9,NA,NA
91179,SCARF2,NA,NA,7,9,NA,10565147.91
387129,NPSR1,NA,NA,7,9,NA,NA
339403,RXFP4,NA,NA,7,9,NA,NA
6331,SCN5A,NA,NA,7,9,NA,NA
51554,ACKR4,NA,NA,7,9,NA,NA
54329,GPR85,NA,NA,7,9,NA,12723938.25
2798,GNRHR,NA,NA,7,9,NA,NA
83873,GPR61,NA,NA,7,9,NA,NA
53831,GPR84,NA,NA,7,9,NA,NA
55507,GPRC5D,NA,NA,7,9,NA,NA
222545,GPRC6A,NA,NA,7,9,NA,NA
26212,OR2B6,NA,NA,7,9,NA,NA
134864,TAAR1,NA,NA,7,9,NA,NA
122042,RXFP2,NA,NA,7,9,NA,NA
6870,TACR3,NA,NA,7,9,NA,NA
374462,PTPRQ,NA,NA,7,9,NA,NA
118442,GPR62,NA,NA,7,9,NA,NA
3355,HTR1F,NA,NA,7,9,NA,NA
2692,GHRHR,NA,NA,7,9,NA,NA
4159,MC3R,NA,NA,7,9,NA,NA
138881,OR1L8,NA,NA,7,9,NA,183610428
285601,GPR150,NA,NA,7,9,NA,NA
134860,TAAR9,NA,NA,7,9,NA,NA
4992,OR1F1,NA,NA,7,9,NA,NA
59340,HRH4,NA,NA,7,9,NA,NA
26659,OR7A5,NA,NA,7,9,NA,NA
219869,OR10G8,NA,NA,7,9,NA,NA
124274,GPR139,NA,NA,7,9,NA,NA
284532,OR14A16,NA,NA,7,9,NA,NA
2912,GRM2,NA,NA,7,9,NA,NA
83551,TAAR8,NA,NA,7,9,NA,NA
